"Index","deposit.amount"
2016-05-16,23942
2016-05-17,2418
2016-05-18,8852
2016-05-19,2229
2016-05-20,7635
2016-05-23,15764
2016-05-24,1609
2016-05-25,7873
2016-05-26,2822
2016-05-27,7085
2016-05-31,15717
2016-06-01,17602
2016-06-02,10812
2016-06-03,9379
2016-06-06,14363
2016-06-07,1991
2016-06-08,7900
2016-06-09,2225
2016-06-10,6190
2016-06-13,14329
2016-06-14,1768
2016-06-15,11029
2016-06-16,11204
2016-06-17,7473
2016-06-20,14671
2016-06-21,2007
2016-06-22,9708
2016-06-23,2540
2016-06-24,6387
2016-06-27,14195
2016-06-28,2068
2016-06-29,7856
2016-06-30,4920
2016-07-01,21578
2016-07-05,18691
2016-07-06,5571
2016-07-07,9443
2016-07-08,6333
2016-07-11,13016
2016-07-12,1787
2016-07-13,7147
2016-07-14,2899
2016-07-15,10823
2016-07-18,23118
2016-07-19,2595
2016-07-20,9448
2016-07-21,2694
2016-07-22,5745
2016-07-25,13551
2016-07-26,2276
2016-07-27,8018
2016-07-28,2481
2016-07-29,10287
2016-08-01,29198
2016-08-02,6077
2016-08-03,9587
2016-08-04,3248
2016-08-05,6056
2016-08-08,13630
2016-08-09,1612
2016-08-10,7605
2016-08-11,2856
2016-08-12,7516
2016-08-15,17857
2016-08-16,10489
2016-08-17,7802
2016-08-18,2216
2016-08-19,8327
2016-08-22,13517
2016-08-23,1761
2016-08-24,7145
2016-08-25,2099
2016-08-26,7803
2016-08-29,15039
2016-08-30,1969
2016-08-31,9500
2016-09-01,16245
2016-09-02,9805
2016-09-06,13212
2016-09-07,5119
2016-09-08,9216
2016-09-09,7492
2016-09-12,14626
2016-09-13,1885
2016-09-14,8354
2016-09-15,6715
2016-09-16,14552
2016-09-19,13094
2016-09-20,2009
2016-09-21,9605
2016-09-22,2311
2016-09-23,7704
2016-09-26,16090
2016-09-27,1859
2016-09-28,7163
2016-09-29,2988
2016-09-30,8631
2016-10-03,30106
2016-10-04,4059
2016-10-05,10136
2016-10-06,2751
2016-10-07,7303
2016-10-11,15815
2016-10-12,3212
2016-10-13,6795
2016-10-14,7187
