date,deposit.amount,business.day.of.month,weekday,prev.weekday,prev.date,next.date,is.wednesday.semiweekly,is.friday.semiweekly,is.month.start,is.month.end,is.year.start,is.year.end,is.monday,is.tuesday,is.wednesday,is.thursday,is.friday,is.fifteen,is.sixteen,is.second,is.eleventh,is.third,is.twelveth,is.xmas,is.post.thanksgiving,is.march.sixteen,is.april.sixteen,is.tax.season,third.monday.date,first.monday.date,first.wednesday.date,first.friday.date,first.semiweekly.date,is.third.monday,is.first.monday,is.first.wednesday,is.first.friday,is.first.semiweekly,day.average,day.count,month.length,month.deposit.amount,year.month,business.day.pct,forecast,lower.ci,upper.ci,value.y_intercept,value.is.monday,value.is.wednesday,value.is.thursday,value.is.friday,value.is.fifteen,value.is.sixteen,value.is.second,value.is.third,value.is.month.start,value.is.month.end,value.is.year.start,value.is.year.end,value.is.march.sixteen,value.is.april.sixteen,value.is.tax.season,value.is.post.thanksgiving,value.is.xmas,value.business.day.pct,value.is.first.wednesday,value.is.twelveth,value.is.wednesday.semiweekly,value.is.friday.semiweekly,fitted.value,predicted.mean,day,month,year,days.to.end,mtd.fitted,mtd.deposit,mtd.month.est,month.fitted,scale.factor
2020-02-25,2777,16,1,0,2020-02-24,2020-02-26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,0.23592171588475286,11770.853690113703,25,2,2020,3,16.61844439893643,198257,226668.80903973652,18.794585616271164,1.0109294446774608
2020-02-26,10240,17,2,1,2020-02-25,2020-02-27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0.12682365553579766,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0.5224171502024458,-0,0.8851625216229964,11568.497027217523,26,2,2020,2,17.503606920559424,208497,226321.52435661474,18.794585616271164,1.0109294446774608
2020-02-27,3921,18,3,2,2020-02-26,2020-02-28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0.045558176529040775,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,0.2814798924137936,13929.947060786413,27,2,2020,1,17.78508681297322,212418,226928.43967767464,18.794585616271164,1.0109294446774608
2020-02-28,10497,19,4,3,2020-02-27,2020-03-02,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0,0.6985930038930406,0,0,0,0,0,0.21096992103935783,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0.13598583751920648,1.0094988032979448,10398.229265559517,28,2,2020,0,18.794585616271164,222915,225351.3371602762,18.794585616271164,1.0109294446774608
2020-03-02,41926,1,0,4,2020-02-28,2020-03-03,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16,2020-03-02,2020-03-04,2020-03-06,2020-03-04,0,1,0,0,0,11617.318181818182,22,31,255581,Mar 2020,0.7096774193548387,259895.26629524,248552.647005988,271755.502330444,-0.3775440108824427,1.3903905739156974,0,0,0,0,0,0,0,1.6552411404618053,0,0,0,0,-0,0,-0,0,0.6645010758530913,0,0,0,-0,3.3325887793481512,12580.610083012,2,3,2020,21,3.3325887793481512,41926,276773.421826264,22.593708376310207,0.9737224024307263
2020-03-03,6093,2,1,0,2020-03-02,2020-03-04,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020-03-16,2020-03-02,2020-03-04,2020-03-06,2020-03-04,0,0,0,0,0,11617.318181818182,22,31,255581,Mar 2020,0.7096774193548387,259895.26629524,248552.647005988,271755.502330444,-0.3775440108824427,0,0,0,0,0,0,0.30142438857337445,0,0,0,0,0,0,-0,0,-0,0,0.6645010758530913,0,0,0,-0,0.588381453544023,10355.526951605585,3,3,2020,20,3.9209702328921745,48019,269427.7021380925,22.593708376310207,0.9737224024307263
2020-03-04,10916,3,2,1,2020-03-03,2020-03-05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-03-16,2020-03-02,2020-03-04,2020-03-06,2020-03-04,0,0,1,0,1,11617.318181818182,22,31,255581,Mar 2020,0.7096774193548387,259895.26629524,248552.647005988,271755.502330444,-0.3775440108824427,0,0.12682365553579766,0,0,0,0,0,0.07691193429022788,0,0,0,0,0,-0,0,-0,0,0.6645010758530913,0.11817892863273807,0,0.5224171502024458,-0,1.131288733631858,9649.172377908844,4,3,2020,19,5.0522589665240325,58935,256631.73811774014,22.593708376310207,0.9737224024307263
2020-03-05,3633,4,3,2,2020-03-04,2020-03-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16,2020-03-02,2020-03-04,2020-03-06,2020-03-04,0,0,0,0,0,11617.318181818182,22,31,255581,Mar 2020,0.7096774193548387,259895.26629524,248552.647005988,271755.502330444,-0.3775440108824427,0,0,0.045558176529040775,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6645010758530913,0,0,0,-0,0.3325152414996893,10925.814959984005,5,3,2020,18,5.384774208023722,62568,255627.43149915486,22.593708376310207,0.9737224024307263
2020-03-06,9617,5,4,3,2020-03-05,2020-03-09,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-03-16,2020-03-02,2020-03-04,2020-03-06,2020-03-04,0,0,0,1,0,11617.318181818182,22,31,255581,Mar 2020,0.7096774193548387,259895.26629524,248552.647005988,271755.502330444,-0.3775440108824427,0,0,0,0.6985930038930406,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6645010758530913,0,0,0,-0.13598583751920648,0.8495642313444827,11319.92101972156,6,3,2020,17,6.234338439368204,72185,254729.5138762048,22.593708376310207,0.9737224024307263
2020-03-09,27079,6,0,4,2020-03-06,2020-03-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16,2020-03-02,2020-03-04,2020-03-06,2020-03-04,0,0,0,0,0,11617.318181818182,22,31,255581,Mar 2020,0.7096774193548387,259895.26629524,248552.647005988,271755.502330444,-0.3775440108824427,1.3903905739156974,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6645010758530913,0,0,0,-0,1.677347638886346,16143.940213835913,9,3,2020,16,7.91168607825455,99264,276023.0851426532,22.593708376310207,0.9737224024307263
